window_index,timestamp_s,status,confidence,azimuth_deg,elevation_deg,x_m,y_m,z_m,used_pairs,rejected_pairs,tdoa_policy,informative,message,reason,preprocess_s,gcc_s,localize_s,total_s,runtime_error
20,0.736,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.012294600019231439,0.0,0.0,0.012335200095549226,False
21,0.768,ok,0.9883987565234977,-8.81713273096987,8.778527722369663,18.067205504561418,-2.7024834183553614,2.92338349563593,6,0,wideband,True,,,0.0110588000388816,0.40766529995016754,0.2442694999044761,0.6630547000095248,False
22,0.8,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.01116860006004572,0.0,0.0,0.011210900032892823,False
23,0.832,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.00997720006853342,0.0,0.0,0.010022600064985454,False
24,0.864,ok,0.9999945237132924,-5.713651686467077,8.22739909820512,19.75116528731673,-1.876181429698878,2.9700872353893075,6,0,wideband,True,,,0.01278190000448376,0.42916490009520203,0.30416370008606464,0.7461828000377864,False
25,0.896,ok,0.9999945237523978,-5.713651695384101,8.22739909592159,19.751165287122994,-1.8761814327841677,2.970087234598192,6,0,wideband,True,,,0.010970600065775216,0.39465139992535114,0.30379769997671247,0.7095073000527918,False
26,0.928,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.010204400052316487,0.0,0.0,0.010249100043438375,False
27,0.96,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.0118219000287354,0.0,0.0,0.011867200024425983,False
28,0.992,ok,0.9999995099276074,-4.126542252158884,7.200191481913972,21.422857256913016,-1.4455849578694289,2.8134434329726536,6,0,wideband,True,,,0.012000799993984401,0.3907667000312358,0.23477620002813637,0.6376021999167278,False
29,1.024,ok,0.9999995121831339,-4.1265421910619695,7.200191391439475,23.02436825432731,-1.5611284051823942,3.016292597698073,6,0,wideband,True,,,0.012302899966016412,0.3870949000120163,0.2526783000212163,0.6521364999935031,False
30,1.056,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.013112799962982535,0.0,0.0,0.013167800032533705,False
31,1.088,ok,0.9999965101144428,-2.5710837064699743,6.671790826565729,23.086861657567184,-0.9366929118545958,2.8032813792930154,6,0,wideband,True,,,0.020130000077188015,0.5869146999903023,0.2429322999669239,0.8500434000743553,False
32,1.12,ok,0.9999965081692459,-2.5710837056643747,6.671790826985987,23.086861657561947,-0.9366929115290964,2.803281379462525,6,0,wideband,True,,,0.012320799985900521,0.40207159996498376,0.2535077000502497,0.667958699981682,False
33,1.152,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.011277399957180023,0.0,0.0,0.011321899946779013,False
34,1.184,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.01221310009714216,0.0,0.0,0.01225600007455796,False
35,1.216,ok,0.9999987152728104,-1.0342193209819739,5.648995161227975,24.77906943559972,-0.3473239778521323,2.55140311041279,6,0,wideband,True,,,0.011423900024965405,0.39065089996438473,0.2068906999193132,0.6090300000505522,False
36,1.248,ok,0.9999987150488706,-1.0342193180204347,5.648995204792904,26.420189819503566,-0.37695029074980324,2.7137598174226643,6,0,wideband,True,,,0.012637200066819787,0.40898900001775473,0.2056118999607861,0.6273032000754029,False
37,1.28,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.010822599986568093,0.0,0.0,0.010869599995203316,False
38,1.312,ok,0.9997698290544287,-0.0036293916156553575,5.126601002472832,26.447226798073636,0.09832470481870777,2.4727292189083103,6,0,wideband,True,,,0.011984399985522032,0.3935515000484884,0.13865919993259013,0.5442560000810772,False
39,1.344,ok,0.9997513426170234,-0.001636109193633245,5.126601305556839,28.099756591902533,0.09919759761535549,2.6209870915810325,6,0,wideband,True,,,0.011130700004287064,0.3897099000168964,0.14594910002779216,0.5468501000432298,False
40,1.376,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.011133500025607646,0.0,0.0,0.011179500026628375,False
41,1.408,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.011196000035852194,0.0,0.0,0.011265799985267222,False
42,1.44,ok,0.9914089347258556,0.04077501789117039,4.36106268750723,28.13092365440267,0.12001960910024323,2.24532763217124,6,0,wideband,True,,,0.011417399975471199,0.41812849999405444,0.17982740001752973,0.6094394999090582,False
43,1.472,ok,0.9913911275755467,0.039888715656085004,4.361062847906349,29.79278794663389,0.12074142718891116,2.372065207331267,6,0,wideband,True,,,0.013608300010673702,0.49483360000886023,0.16181479999795556,0.6703247999539599,False
44,1.504,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.01272389991208911,0.0,0.0,0.012788199936039746,False
45,1.536,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.01271370006725192,0.0,0.0,0.012768000015057623,False
46,1.568,ok,0.9975878603743619,0.4618118710168007,4.0961572855330415,31.470401661112895,0.3536612631735834,2.3537781571029766,6,0,wideband,True,,,0.01250469998922199,0.3980604000389576,0.21522789995651692,0.6258707999950275,False
47,1.6,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.011265499982982874,0.0,0.0,0.011313700000755489,False
48,1.632,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.011135200038552284,0.0,0.0,0.011180500034242868,False
49,1.664,ok,0.999999726511947,1.031023384140206,3.5892149772249415,31.485034551998265,0.6666265724067238,2.07524031868645,6,0,wideband,True,,,0.012316699954681098,0.4977805999806151,0.19932729995343834,0.7094845999963582,False
50,1.696,ok,0.9999997265350395,1.0310233840485226,3.589215000888789,33.15935030190495,0.6967587226909562,2.1802799495918728,6,0,wideband,True,,,0.012749899993650615,0.4099776999792084,0.19239159999415278,0.6151786000700668,False
51,1.728,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.010829400038346648,0.0,0.0,0.010877200053073466,False
52,1.76,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.012493900023400784,0.0,0.0,0.012540700030513108,False
53,1.792,ok,0.9999980263011643,1.5353935938481598,3.582476662568826,34.831909333438155,1.03363763181972,2.281526281707337,6,0,wideband,True,,,0.01268839999102056,0.38867959997151047,0.2564070000080392,0.6578318000538275,False
54,1.824,ok,0.9999980321171181,1.5353935669006917,3.5824765982479616,34.831909336325396,1.0336376155031253,2.281526242590613,6,0,wideband,True,,,0.01079339999705553,0.4020754999946803,0.20043920003809035,0.6133744000690058,False
55,1.856,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.013325199950486422,0.0,0.0,0.01339970005210489,False
56,1.888,ok,0.9916944369724707,1.7904688073370156,3.3333427842056524,34.836559536792294,1.1889822091821323,2.129995405363404,6,0,wideband,True,,,0.014482600032351911,0.4071199999889359,0.4783575999317691,0.9000877999933437,False
57,1.92,ok,0.991694436187752,1.790468765327731,3.3333428260174056,36.52064940140873,1.2416264137731718,2.2281306880429663,6,0,wideband,True,,,0.011782800080254674,0.38661849999334663,0.4735927999718115,0.8720540000358596,False
58,1.952,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.011312499991618097,0.0,0.0,0.011363899917341769,False
59,1.984,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.010297199944034219,0.0,0.0,0.0103428999427706,False
60,2.016,ok,0.999997339834956,2.0462237497233646,3.583298034538336,38.19440356181361,1.464630002596366,2.493336612449524,6,0,wideband,True,,,0.012141199898906052,0.3870183000108227,0.22032409999519587,0.6195437998976558,False
61,2.048,ok,0.9999973399323355,2.0462237553323113,3.5832979859737413,38.194403563707354,1.4646300064078253,2.49333658005483,6,0,wideband,True,,,0.011424700031057,0.3932468999410048,0.2245207999367267,0.6292620999738574,False
62,2.08,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.011901299934834242,0.0,0.0,0.011958099901676178,False
63,2.112,ok,0.9999995771446816,2.0547255973278213,3.5892284076719596,39.8887125408899,1.5310916596369473,2.6036661786192363,6,0,wideband,True,,,0.013173899962566793,0.3888079000171274,0.2168288000393659,0.6188721000216901,False
64,2.144,ok,0.9999995771209919,2.054725601461302,3.589228093132345,39.88871255452232,1.5310916630074285,2.6036659594992146,6,0,wideband,True,,,0.013295199954882264,0.3814181999769062,0.21663070004433393,0.6114070999901742,False
65,2.176,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.011100900010205805,0.0,0.0,0.011149900034070015,False
66,2.208,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.010350099997594953,0.0,0.0,0.010396099998615682,False
67,2.24,ok,0.9916947495623731,2.3127488793648667,3.8447573376069712,41.57058814105747,1.7789121674877653,2.8960112952765935,6,0,wideband,True,,,0.012227099970914423,0.39603790000546724,0.35558769991621375,0.763912900001742,False
68,2.272,ok,0.9916947495446656,2.312748879019443,3.8447573405347857,41.57058814092483,1.7789121672313792,2.8960112974025822,6,0,wideband,True,,,0.012250299914740026,0.42200380004942417,0.37301330000627786,0.8073258999502286,False
69,2.304,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.011437500012107193,0.0,0.0,0.011484500020742416,False
70,2.336,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.01219509996008128,0.0,0.0,0.01225869997870177,False
71,2.368,ok,0.999999659030247,2.5727931129221084,4.101540361636359,43.255449834102315,2.043636731477067,3.204887804665927,6,0,wideband,True,,,0.011022399994544685,0.3880315999267623,0.22709559998475015,0.6262153000570834,False
72,2.4,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.01206179999280721,0.0,0.0,0.012109300005249679,False
73,2.432,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.009732299949973822,0.0,0.0,0.00978149997536093,False
74,2.464,ok,0.9999999509147406,3.0823514946521806,4.110782114547096,44.94737026551395,2.520377289743038,3.3350496951840034,6,0,wideband,True,,,0.012069900054484606,0.38079770002514124,0.23129979998338968,0.6242280000587925,False
75,2.496,ok,0.9999999509288976,3.0823514950332846,4.110782114356083,44.947370265508624,2.520377290042586,3.3350496950339408,6,0,wideband,True,,,0.011883800034411252,0.40682739997282624,0.2399283000268042,0.6587014000397176,False
76,2.528,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.010342500056140125,0.0,0.0,0.010392500087618828,False
77,2.56,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.011189799988642335,0.0,0.0,0.011238200007937849,False
78,2.592,ok,0.9916909965341562,3.3475137428948223,4.366442416414376,46.63742518907838,2.827902537813952,3.6671652382202833,6,0,wideband,True,,,0.012417600024491549,0.3726641000248492,0.38755660003516823,0.7733582000946626,False
79,2.624,ok,0.9916909975749455,3.3475137233186882,4.366442404116144,46.63742519077479,2.8279025219241465,3.6671652281927014,6,0,wideband,True,,,0.011748500051908195,0.3829328999854624,0.3957306999946013,0.7904764000559226,False
80,2.656,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.011811899952590466,0.0,0.0,0.0118648000061512,False
81,2.688,ok,0.991688229046605,3.8651350018163115,4.867990220615493,48.298521401205164,3.363137403759838,4.222841147746581,6,0,wideband,True,,,0.012299100053496659,0.3912799999816343,0.45816799998283386,0.8618625000817701,False
82,2.72,ok,0.9916882273841736,3.8651349245801643,4.867990144310624,48.29852141108215,3.363137339022337,4.222841083277364,6,0,wideband,True,,,0.012782300007529557,0.3982432000339031,0.4356035999953747,0.8467004999984056,False
83,2.752,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.009847000008448958,0.0,0.0,0.009895100025460124,False
84,2.784,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.010740799945779145,0.0,0.0,0.010789199965074658,False
85,2.816,ok,0.9920812341142246,4.852896528976585,4.898874856914682,49.957619488226165,4.3415091561470005,4.3972955724506395,6,0,wideband,True,,,0.012683900073170662,0.3921509999781847,0.3146728000137955,0.7195821000495926,False
86,2.848,ok,0.9920777514227511,4.852994527375323,4.898776483842421,49.957619585147015,4.341595227572807,4.397209489918316,6,0,wideband,True,,,0.011576900025829673,0.4210762999719009,0.3222114999080077,0.7549295000499114,False
87,2.88,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.01150609995238483,0.0,0.0,0.011722899973392487,False
88,2.912,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.01211510004941374,0.0,0.0,0.01216110005043447,False
89,2.944,ok,0.9998101817300554,5.147980046387587,5.1257238323406575,51.64841533738431,4.75309692409856,4.751635682806153,6,0,wideband,True,,,0.011539900093339384,0.38761840004008263,0.2387980999192223,0.6380183000583202,False
90,2.976,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.01030460000038147,0.0,0.0,0.010359800071455538,False
91,3.008,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.011249399976804852,0.0,0.0,0.011298199999146163,False
92,3.04,ok,0.9916858061982079,5.9223215749288975,4.87053272475568,53.33835138878198,5.632985003975568,4.669466027358533,6,0,wideband,True,,,0.01108530000783503,0.3954056999646127,0.8484120999928564,1.2549685999983922,False
93,3.072,ok,0.9916858066961883,5.9223215832057035,4.870532733548648,53.33835138728519,5.63298501160834,4.669466035588093,6,0,wideband,True,,,0.012619199929758906,0.3914797999896109,0.8434472000226378,1.2476209999294952,False
94,3.104,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.01142909994814545,0.0,0.0,0.011481099994853139,False
95,3.136,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.011960999923758209,0.0,0.0,0.012017699889838696,False
96,3.168,ok,0.9999978946889259,6.194641090696701,4.618014419718217,55.07781916892967,6.078153702478831,4.575015063372231,6,0,wideband,True,,,0.012099499930627644,0.38335559994447976,0.25018239999189973,0.6457030000165105,False
97,3.2,ok,0.999997896622274,6.194641100181445,4.618014279413101,55.077819178834424,6.0781537127788905,4.575014927706279,6,0,wideband,True,,,0.011506100068800151,0.40942199993878603,0.24368710000999272,0.6646795000415295,False
98,3.232,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.011370400083251297,0.0,0.0,0.011425900040194392,False
99,3.264,ok,0.9916860107866865,7.465398814512541,4.363146960327451,56.70442920488887,7.530444896935752,4.463468137410622,6,0,wideband,True,,,0.010961799998767674,0.3987783999182284,0.87542840000242,1.2852336000651121,False
100,3.296,ok,0.991686012903594,7.465398768548237,4.3631469166501216,56.704429214147915,7.530444851878027,4.463468093814545,6,0,wideband,True,,,0.01063639996573329,0.3982590999221429,0.8889188000466675,1.2978798999683931,False
101,3.328,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.01010900002438575,0.0,0.0,0.01016069995239377,False
102,3.36,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.011657299939543009,0.0,0.0,0.011705699958838522,False
103,3.392,ok,0.991681250503365,7.991101966420568,4.354404063368781,58.397058347514054,8.297923334299544,4.590266086849832,6,0,wideband,True,,,0.012202399899251759,0.3906520999735221,0.923148600035347,1.326077500008978,False
104,3.424,ok,0.9916812485082694,7.991101936983888,4.354404087583332,58.39705834984661,8.297923304033247,4.59026611177181,6,0,wideband,True,,,0.01087510003708303,0.4079916999908164,0.926153099979274,1.345287499949336,False
105,3.456,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.01073570002336055,0.0,0.0,0.010787899955175817,False
106,3.488,ok,0.9916808276099939,8.511910283044742,3.8496644128943793,60.12901191753219,9.099119853798332,4.191181697046339,6,0,wideband,True,,,0.01229859993327409,0.3841285000089556,0.9140772999962792,1.310566599946469,False
107,3.52,ok,0.9916808362946297,8.511910069343214,3.84966464584276,60.12901193464669,9.099119627067408,4.191181944236612,6,0,wideband,True,,,0.010729199973866343,0.3843283000169322,0.8993479999480769,1.294470899971202,False
108,3.552,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.011541099986061454,0.0,0.0,0.011601899983361363,False
109,3.584,insufficient_signal,0.0,,,,,,0,0,manual,False,окно неинформативно: low_energy,low_energy,0.010504300007596612,0.0,0.0,0.010556099936366081,False
110,3.616,ok,0.9916784192900511,9.5385754815473,3.8394577790857407,59.95883306361281,10.175171137459332,4.180350989892922,6,0,wideband,True,,,0.012294000014662743,0.38337870000395924,0.9257192999357358,1.3214575999882072,False
